Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,btw_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_cancelled,avg_price_per_room,no_of_special_requests,booking_status
INN03522,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,24,0,0,0,141,0,kept
INN03537,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,27,0,0,0,160,0,kept
INN03604,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2017,9,21,0,0,0,65,0,kept
INN03612,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,13,0,0,0,138,0,kept
INN03615,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,3,21,1,0,13,65,1,kept
INN03638,2,2,0,2,Meal Plan 1,0,Room_Type 6,0,2018,3,23,0,0,0,201,2,kept
INN03711,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,3,17,0,0,0,50,1,kept
INN03714,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,27,0,0,0,160,0,kept
INN03720,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,11,18,1,0,3,65,0,kept
INN03761,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,8,0,0,0,124,0,kept
INN03785,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,8,0,0,0,91.2,0,kept
INN03837,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,12,15,0,0,0,50,1,kept
INN03886,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,12,13,0,0,0,79,1,kept
INN03898,2,0,1,0,Meal Plan 1,1,Room_Type 1,0,2018,11,14,1,0,1,77,0,kept
INN03930,1,2,0,1,Meal Plan 1,0,Room_Type 6,0,2017,8,8,0,0,0,153,0,kept
INN03935,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,4,23,0,0,0,114,0,kept
INN03944,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2017,9,7,0,0,0,65,0,kept
INN04016,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,5,2,1,0,5,65,0,kept
INN04037,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,22,0,0,0,91,0,kept
INN04045,2,0,1,4,Meal Plan 1,0,Room_Type 1,0,2018,9,12,0,0,0,120,0,kept
INN04055,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,22,1,0,2,0,0,kept
INN04142,2,1,1,0,Meal Plan 1,0,Room_Type 1,0,2018,6,26,0,0,0,127,0,kept
INN04201,2,0,0,2,Meal Plan 1,0,Room_Type 4,0,2018,5,27,0,0,0,182.33,1,cancelled
INN04231,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,11,1,0,1,50,0,kept
INN04285,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,8,13,0,0,0,85,0,kept
INN04293,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,12,7,0,0,0,0,0,kept
INN04370,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,20,0,0,0,79,0,kept
INN04450,1,0,1,0,Meal Plan 1,1,Room_Type 1,0,2018,3,28,1,0,1,88,0,kept
INN04464,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,3,5,0,0,0,109,0,kept
INN04486,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,15,0,0,0,179,2,kept
INN04488,3,0,1,0,Meal Plan 1,0,Room_Type 4,0,2018,2,15,0,0,0,127,0,kept
INN04592,1,0,2,0,Meal Plan 1,0,Room_Type 1,0,2018,9,18,0,0,0,0,0,kept
INN04685,2,0,2,0,Meal Plan 1,0,Room_Type 1,0,2017,8,23,0,0,0,98,0,kept
INN04760,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,13,0,0,0,65,0,kept
INN04771,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,21,0,0,0,145,0,kept
INN04846,3,0,0,1,Meal Plan 1,0,Room_Type 4,0,2017,11,14,0,0,0,107,2,kept
INN04852,1,0,1,2,Meal Plan 1,1,Room_Type 1,0,2017,11,9,0,0,0,100,1,kept
INN04879,2,1,0,1,Meal Plan 1,0,Room_Type 4,0,2018,6,7,0,0,0,139,0,cancelled
INN04885,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,11,18,1,1,7,0,0,kept
INN04938,3,0,0,4,Meal Plan 1,0,Room_Type 4,0,2018,8,30,0,0,0,142.2,1,kept
INN04965,2,0,1,0,Meal Plan 1,0,Room_Type 4,0,2018,5,23,0,0,0,176,1,kept
INN04970,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,12,11,1,0,11,0,1,kept
INN04974,2,1,1,2,Meal Plan 1,0,Room_Type 1,0,2018,6,13,0,0,0,80.75,1,kept
INN04997,2,0,0,1,Meal Plan 1,0,Room_Type 7,0,2018,3,9,1,3,14,0,1,kept
INN05021,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,2,0,0,0,6,0,kept
INN05092,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,26,0,0,0,161,0,cancelled
INN05206,2,0,2,0,Meal Plan 1,0,Room_Type 1,0,2018,9,11,0,0,0,155,1,kept
INN05222,1,0,3,7,Meal Plan 1,0,Room_Type 1,0,2017,11,30,1,0,1,69,1,kept
INN05256,2,0,1,0,Meal Plan 1,0,Room_Type 4,0,2018,1,3,0,0,0,97,0,kept
INN05258,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2018,8,10,0,0,0,130.9,1,kept
INN05285,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,10,25,1,0,4,0,1,kept
INN05365,2,0,0,2,Meal Plan 1,0,Room_Type 4,0,2018,8,17,0,0,0,165,1,kept
INN05452,2,0,0,4,Meal Plan 1,0,Room_Type 1,0,2017,12,30,0,0,0,122.5,1,kept
INN05454,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,1,18,1,1,1,65,0,kept
INN05455,2,0,1,3,Meal Plan 1,1,Room_Type 1,0,2017,11,9,0,0,0,106,1,kept
INN05485,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,11,12,0,0,0,85,0,kept
INN05488,2,2,1,3,Meal Plan 1,0,Room_Type 1,0,2018,3,21,0,0,0,165,0,kept
INN05564,2,0,0,1,Meal Plan 1,1,Room_Type 1,0,2017,8,11,0,0,0,133,1,kept
INN05582,3,0,1,0,Meal Plan 1,0,Room_Type 4,0,2018,5,9,0,0,0,149,0,kept
INN05625,2,0,2,2,Meal Plan 1,0,Room_Type 1,0,2018,12,10,0,0,0,89.89,0,kept
INN05719,2,1,1,2,Meal Plan 1,0,Room_Type 1,0,2018,3,25,0,0,0,67.5,2,kept
INN05774,2,1,0,1,Meal Plan 1,0,Room_Type 6,0,2018,12,10,0,0,0,0,1,kept
INN05815,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,28,0,0,0,143,1,kept
INN05904,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,11,0,0,0,75,0,cancelled
INN05905,2,0,0,1,Meal Plan 1,0,Room_Type 2,0,2017,11,28,0,0,0,77.25,2,kept
INN05926,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,16,0,0,0,85,0,kept
INN05944,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,4,18,1,0,4,65,0,kept
INN05982,2,1,1,0,Meal Plan 1,0,Room_Type 1,0,2018,3,27,0,0,0,119,0,kept
INN06038,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,4,20,1,0,2,65,0,kept
INN06105,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,11,30,0,0,0,64,1,kept
INN06110,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,4,25,1,0,15,65,1,kept
INN06157,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,11,3,0,0,0,101,0,kept
INN06192,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,4,0,0,0,89,0,kept
INN06204,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,10,12,0,0,0,120,0,kept
INN06456,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,3,16,1,0,2,65,1,kept
INN06500,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,8,15,0,0,0,216,0,cancelled
INN06637,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,28,0,0,0,116.45,0,kept
INN06673,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,8,1,0,2,92.5,0,kept
INN06678,2,0,0,1,Meal Plan 1,0,Room_Type 7,0,2017,12,16,1,2,8,0,1,kept
INN06702,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,2017,9,4,0,0,0,66.13,0,kept
INN06774,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,24,0,0,0,135,0,cancelled
INN06984,2,0,2,3,Meal Plan 1,0,Room_Type 1,0,2018,3,20,0,0,0,124.2,0,kept
INN07055,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,6,0,0,0,79,0,kept
INN07123,2,0,0,1,Meal Plan 1,0,Room_Type 6,0,2018,2,17,1,0,18,0,2,kept
INN07142,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2017,8,12,0,0,0,138,0,kept
INN07150,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2017,10,12,0,0,0,126,0,kept
INN07189,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,2,0,0,0,74.67,0,kept
INN07222,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,10,3,1,0,3,75,0,kept
INN07239,2,0,1,2,Meal Plan 1,0,Room_Type 4,0,2017,10,30,0,0,0,126,1,kept
INN07240,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,2,10,0,0,0,106,2,kept
INN07241,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,6,13,0,0,0,111,1,kept
INN07253,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,1,6,0,0,0,79,0,kept
INN07300,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,3,9,1,2,24,65,1,kept
INN07367,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,2017,7,27,0,0,0,75,0,kept
INN07381,2,2,0,3,Meal Plan 1,0,Room_Type 6,0,2017,8,27,0,0,0,161.33,0,cancelled
INN07466,2,0,0,0,Meal Plan 1,0,Room_Type 1,0,2018,6,22,0,0,0,0,1,kept
INN07503,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,20,0,0,0,123,0,kept
INN07504,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,2017,9,21,0,0,0,145,1,kept
INN07532,1,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,2,10,1,0,17,0,2,kept
INN07639,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,3,23,0,0,0,95,0,kept
INN07648,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,12,10,0,0,0,0,0,kept
INN07674,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,12,31,0,0,0,135,1,kept
INN07685,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,10,10,0,0,0,80,0,kept
INN07775,1,0,0,3,Meal Plan 1,0,Room_Type 1,0,2018,5,10,0,0,0,108.8,0,kept
INN07799,2,0,1,2,Meal Plan 1,0,Room_Type 1,0,2017,8,21,0,0,0,124,0,cancelled
INN07855,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,12,16,0,0,0,0,0,kept
INN07858,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,28,0,0,0,96,2,kept
INN07923,3,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,4,13,0,0,0,137,0,kept
INN07966,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,11,6,0,0,0,95,1,kept
INN08080,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,20,0,0,0,79,0,kept
INN08082,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,1,25,0,0,0,79,0,kept
INN08094,2,0,2,1,Meal Plan 1,1,Room_Type 1,0,2017,8,8,0,0,0,98,0,kept
INN08102,1,0,0,2,Meal Plan 1,0,Room_Type 4,0,2018,4,26,1,0,22,0,2,kept
INN08173,2,0,2,1,Meal Plan 1,0,Room_Type 1,0,2018,4,16,0,0,0,98,0,cancelled
INN08267,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,6,6,0,0,0,96.12,0,kept
INN08268,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,22,0,0,0,109.87,0,kept
INN08275,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,5,0,0,0,82,0,kept
INN08292,1,0,1,1,Meal Plan 1,1,Room_Type 1,0,2018,4,23,0,0,0,123,0,kept
INN08310,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,3,10,1,0,3,50,1,kept
INN08332,1,0,0,1,Meal Plan 1,0,Room_Type 7,0,2017,12,10,0,0,0,0,0,kept
INN08333,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,3,0,0,0,79,0,kept
INN08354,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,10,10,0,0,0,123.2,1,kept
INN08414,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,23,0,0,0,90.78,0,kept
INN08468,2,1,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,30,0,0,0,77.6,0,kept
INN08498,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2017,9,9,0,0,0,152,2,kept
INN08534,2,0,0,3,Meal Plan 1,0,Room_Type 4,0,2018,11,24,0,0,0,74.54,0,kept
INN08537,1,0,1,0,Meal Plan 1,1,Room_Type 1,0,2018,11,14,1,0,1,67,0,kept
INN08630,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2017,8,6,0,0,0,80,2,kept
INN08631,2,0,1,0,Meal Plan 1,1,Room_Type 4,0,2018,1,24,0,0,0,116,0,kept
INN08632,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,2017,9,17,0,0,0,200,1,cancelled
INN08635,2,2,0,1,Meal Plan 1,0,Room_Type 2,0,2018,3,8,0,0,0,83.03,0,kept
INN08691,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,3,1,0,0,0,101,0,kept
INN08710,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,8,17,0,0,0,138,0,kept
INN08736,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,8,12,0,0,0,138,0,cancelled
INN08829,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2017,10,20,0,0,0,123,0,kept
INN08873,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2017,10,1,0,0,0,138.67,0,kept
INN08899,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,4,1,1,1,0,67,0,kept
INN08943,2,0,1,0,Meal Plan 1,0,Room_Type 4,0,2018,12,26,0,0,0,83.16,1,kept
INN08998,2,0,0,1,Meal Plan 1,0,Room_Type 5,0,2018,2,10,0,0,0,0,2,kept
INN09064,2,0,0,3,Meal Plan 1,0,Room_Type 1,0,2018,3,23,0,0,0,131,0,kept
INN09091,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,11,7,1,0,1,75,0,kept
INN09205,2,0,1,2,Meal Plan 1,0,Room_Type 4,0,2018,9,16,0,0,0,0,2,kept
INN09329,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,12,11,0,0,0,0,0,kept
INN09441,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,10,1,0,0,0,165,0,kept
INN09443,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,2017,9,26,0,0,0,170,0,kept
INN09473,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,6,0,0,0,81,0,kept
INN09500,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,11,9,0,0,0,91,1,kept
INN09522,1,0,0,3,Meal Plan 1,0,Room_Type 1,0,2018,2,23,0,0,0,66,0,kept
INN09553,1,0,0,2,Meal Plan 1,1,Room_Type 1,0,2017,10,27,1,0,1,65,0,kept
INN09578,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,2,26,0,0,0,85,0,cancelled
INN09656,1,0,0,2,Meal Plan 1,0,Room_Type 4,0,2017,8,11,0,0,0,0,2,kept
INN09685,1,0,2,3,Meal Plan 1,0,Room_Type 1,0,2017,9,20,0,0,0,0,1,kept
INN09692,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,9,8,0,0,0,110.4,0,kept
INN09705,1,0,0,1,Meal Plan 1,0,Room_Type 5,0,2017,8,26,0,0,0,0,1,kept
INN09815,2,2,0,2,Meal Plan 1,0,Room_Type 6,0,2018,7,20,0,0,0,206,0,cancelled
INN09865,2,2,0,4,Meal Plan 1,0,Room_Type 6,0,2017,9,8,0,0,0,195,1,kept
INN10015,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,7,4,0,0,0,0,0,kept
INN10050,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,2,0,0,0,139,0,kept
